               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.022334,            0.016187,           0.0033774,             0.99016,             0.99138,             0.98594,              0.8843,            0.007771,           0.0067789,          0.00086603,           0.0043809,           0.0043809,           0.0043809
                 118,            0.020744,            0.016194,           0.0021033,             0.97412,             0.99077,              0.9881,             0.88948,           0.0068655,           0.0066949,          0.00092712,           0.0043126,           0.0043126,           0.0043126
                 119,            0.020509,            0.015893,           0.0025085,             0.97479,              0.9909,             0.99114,             0.87969,           0.0076937,            0.006955,          0.00083884,           0.0042445,           0.0042445,           0.0042445
                 120,            0.017545,            0.015531,            0.002795,             0.98141,             0.99091,             0.99147,             0.89305,           0.0065861,           0.0068469,          0.00067424,           0.0041768,           0.0041768,           0.0041768
                 121,             0.01907,            0.015408,           0.0016315,             0.98877,             0.99091,             0.99356,             0.90156,           0.0070513,           0.0068827,          0.00058956,           0.0041094,           0.0041094,           0.0041094
                 122,             0.01979,             0.01604,            0.001611,             0.99955,              0.9813,             0.99483,             0.89295,           0.0065918,           0.0068374,          0.00056527,           0.0040424,           0.0040424,           0.0040424
                 123,            0.018204,            0.015727,           0.0040087,             0.98255,             0.99773,             0.99483,              0.9071,           0.0069785,           0.0072006,          0.00053566,           0.0039757,           0.0039757,           0.0039757
                 124,             0.01914,            0.016183,           0.0017074,              0.9891,             0.99136,             0.99465,             0.88547,           0.0077814,           0.0071739,          0.00057248,           0.0039094,           0.0039094,           0.0039094
                 125,             0.01867,            0.015476,           0.0027679,             0.98489,             0.99998,             0.99491,             0.90754,           0.0064698,           0.0069346,          0.00049998,           0.0038434,           0.0038434,           0.0038434
                 126,            0.020566,            0.015842,           0.0015077,             0.99924,                   1,               0.995,             0.90711,           0.0069329,           0.0070869,          0.00042216,           0.0037779,           0.0037779,           0.0037779
                 127,             0.01766,            0.015453,           0.0019339,             0.99426,             0.99997,               0.995,             0.90812,           0.0065738,            0.006686,          0.00043059,           0.0037128,           0.0037128,           0.0037128
                 128,            0.017734,            0.015354,           0.0012405,             0.99918,             0.99997,               0.995,             0.90002,            0.007164,            0.007446,          0.00042884,           0.0036482,           0.0036482,           0.0036482
                 129,            0.016448,            0.014123,           0.0034146,             0.98423,             0.99999,             0.99455,             0.90773,           0.0067951,           0.0066615,          0.00052532,            0.003584,            0.003584,            0.003584
                 130,            0.017508,            0.015958,           0.0014885,             0.99026,             0.99997,             0.99491,             0.91159,           0.0065886,           0.0064795,          0.00044621,           0.0035203,           0.0035203,           0.0035203
                 131,            0.019977,            0.015063,           0.0012963,             0.99796,             0.99089,             0.99491,             0.90131,            0.006818,           0.0064346,          0.00041178,            0.003457,            0.003457,            0.003457
                 132,            0.018665,            0.014239,           0.0024281,             0.99096,             0.99091,             0.99483,              0.8981,           0.0067617,           0.0063339,          0.00042694,           0.0033943,           0.0033943,           0.0033943
                 133,            0.018677,             0.01492,            0.002355,             0.99115,              0.9909,             0.99466,             0.90429,           0.0065873,           0.0061956,          0.00045227,           0.0033321,           0.0033321,           0.0033321
                 134,             0.01612,            0.014339,           0.0013223,             0.99102,             0.99091,             0.99466,             0.87751,           0.0082208,           0.0064995,          0.00044163,           0.0032704,           0.0032704,           0.0032704
                 135,            0.017274,            0.014846,           0.0011946,             0.99981,             0.98192,             0.99483,             0.90824,           0.0060848,           0.0065481,          0.00042736,           0.0032093,           0.0032093,           0.0032093
                 136,            0.016726,            0.014779,           0.0012745,              0.9876,             0.99138,             0.99465,             0.91206,           0.0069448,           0.0065061,          0.00045285,           0.0031488,           0.0031488,           0.0031488
                 137,            0.017892,            0.014456,            0.002559,             0.98976,             0.99138,             0.99465,             0.91167,           0.0058742,           0.0062359,          0.00045616,           0.0030888,           0.0030888,           0.0030888
                 138,            0.017815,            0.014506,           0.0020765,             0.99998,             0.98137,             0.99483,             0.88027,           0.0082114,           0.0066722,          0.00043056,           0.0030294,           0.0030294,           0.0030294
                 139,            0.015657,            0.015183,           0.0015177,             0.98984,             0.99089,             0.99466,             0.91584,           0.0061929,           0.0062385,          0.00046257,           0.0029706,           0.0029706,           0.0029706
                 140,            0.014668,            0.014217,           0.0014449,             0.98759,             0.99091,             0.99449,             0.90236,           0.0064879,           0.0060369,           0.0004892,           0.0029125,           0.0029125,           0.0029125
                 141,             0.01423,            0.013558,           0.0012866,             0.98667,              0.9909,             0.99466,             0.90955,           0.0064684,           0.0062602,          0.00046906,            0.002855,            0.002855,            0.002855
                 142,            0.014632,            0.014687,           0.0012211,             0.98883,             0.99091,             0.99466,             0.88927,           0.0077084,           0.0061487,          0.00042116,           0.0027981,           0.0027981,           0.0027981
                 143,            0.015846,            0.013415,           0.0025948,                   1,             0.99345,               0.995,             0.90998,           0.0069269,           0.0062102,          0.00036024,           0.0027419,           0.0027419,           0.0027419
                 144,            0.016192,            0.014699,           0.0012744,             0.99705,             0.99997,               0.995,             0.91634,           0.0058736,           0.0061691,          0.00030701,           0.0026864,           0.0026864,           0.0026864
                 145,            0.015154,            0.015646,           0.0016528,             0.99689,                   1,               0.995,             0.90667,           0.0064317,           0.0061639,          0.00028779,           0.0026316,           0.0026316,           0.0026316
                 146,            0.015058,            0.014018,            0.001039,             0.99538,             0.99999,               0.995,             0.91308,           0.0057023,           0.0058895,          0.00027959,           0.0025775,           0.0025775,           0.0025775
                 147,            0.017157,            0.014747,           0.0011573,             0.99489,                   1,               0.995,             0.90143,           0.0060385,           0.0059686,          0.00027258,           0.0025241,           0.0025241,           0.0025241
                 148,            0.016407,            0.013966,           0.0012529,             0.99416,             0.99999,               0.995,             0.88876,           0.0064827,           0.0060954,           0.0002648,           0.0024714,           0.0024714,           0.0024714
                 149,            0.016468,            0.013956,            0.001711,             0.99628,             0.99999,               0.995,              0.9056,           0.0058885,           0.0061119,          0.00025065,           0.0024195,           0.0024195,           0.0024195
                 150,            0.015705,             0.01385,          0.00096751,             0.99903,             0.99999,               0.995,             0.90614,           0.0058549,           0.0062727,          0.00025195,           0.0023684,           0.0023684,           0.0023684
                 151,            0.015995,            0.014655,            0.001227,                   1,             0.99915,               0.995,             0.90263,           0.0062213,           0.0063753,          0.00025472,            0.002318,            0.002318,            0.002318
                 152,            0.016294,            0.013968,          0.00081901,             0.98568,             0.99999,             0.99492,             0.90721,             0.00566,           0.0061284,          0.00028047,           0.0022684,           0.0022684,           0.0022684
                 153,             0.01505,             0.01273,           0.0017908,             0.98643,             0.99999,             0.99492,             0.91066,           0.0061219,           0.0063303,          0.00026939,           0.0022196,           0.0022196,           0.0022196
